Spring,Year,Spring_Temp,Julian,Fall,Fall_Temp,Fall_Julian,Season
1941-03-14,1941,30,73,1941-11-02,29,324,250
1942-03-24,1942,32,83,1942-11-12,29,316,232
1943-03-02,1943,29,79,1943-11-23,32,327,247
1944-03-29,1944,32,89,1944-11-14,31,319,229
1945-04-02,1945,31,92,1945-11-19,32,323,230
1946-04-07,1946,32,97,1946-10-16,30,289,191
1947-03-06,1947,31,65,1947-11-21,32,325,259
1948-04-27,1948,32,118,1948-10-27,32,301,182
1949-04-03,1949,32,93,1949-10-18,31,291,197
1950-04-24,1950,32,114,1950-11-01,32,314,199
1951-04-21,1951,29,111,1951-10-03,31,303,191
1952-04-08,1952,32,99,1952-11-08,32,313,213
1953-04-02,1953,32,92,1953-11-02,31,306,213
1954-05-01,1954,29,121,1954-10-27,32,300,178
1955-04-25,1955,32,115,1955-11-11,26,315,199
1956-04-06,1956,30,97,1956-11-19,25,324,226
1957-04-07,1957,32,97,1957-11-04,27,308,210
1958-03-16,1958,28,75,1958-10-24,30,297,221
1959-03-02,1959,32,79,1959-10-29,31,302,222
1960-03-19,1960,30,79,1960-11-07,32,312,232
1961-03-28,1961,30,87,1961-10-02,32,293,205
1962-03-28,1962,28,87,1962-11-27,32,331,243
1963-03-17,1963,31,76,1963-10-26,30,299,222
1964-05-02,1964,32,123,1964-10-23,32,297,173
1965-04-06,1965,32,96,1965-11-24,32,328,231
1966-04-19,1966,32,109,1966-12-25,32,359,249
1967-04-15,1967,31,105,1967-11-06,32,310,204
1968-04-22,1968,32,113,1968-11-01,31,306,192
1969-03-24,1969,29,83,1969-10-14,31,287,203
1970-04-12,1970,30,102,1970-10-26,32,299,196
1971-04-03,1971,32,93,1971-10-27,32,300,206
1972-04-22,1972,30,113,1972-10-29,30,303,189
1973-02-02,1973,29,51,1973-11-02,29,306,254
1974-03-18,1974,30,77,1974-11-28,31,332,254
1975-04-08,1975,31,98,1975-11-17,30,321,222
1976-04-02,1976,31,93,1976-11-02,32,325,231
1977-04-17,1977,31,107,1977-11-03,32,307,199
1978-03-15,1978,28,74,1978-10-26,32,299,224
1979-02-21,1979,32,52,1979-11-11,31,315,262
1980-04-02,1980,31,93,1980-12-06,30,341,247
1981-04-13,1981,31,103,1981-11-27,30,331,227
1982-04-19,1982,31,109,1982-11-02,32,306,196
1983-02-05,1983,30,36,1983-11-29,29,333,296
1984-03-04,1984,32,64,1984-11-21,31,326,261
1985-03-15,1985,29,74,1985-10-08,32,281,206
1986-02-19,1986,29,50,1986-11-01,32,314,263
1987-03-28,1987,32,87,1987-11-28,29,332,244
1988-04-08,1988,32,99,1988-11-03,31,335,235
1989-03-02,1989,31,79,1989-10-29,32,302,222
1990-03-13,1990,29,72,1990-11-18,32,322,249
1991-03-02,1991,32,79,1991-10-03,27,303,223
1992-03-28,1992,31,88,1992-11-28,31,333,244
1993-03-11,1993,31,70,1993-11-05,32,309,238
1994-03-07,1994,31,66,1994-11-03,32,307,240
1995-03-26,1995,31,85,1995-10-03,32,303,217
1996-03-26,1996,31,86,1996-11-18,32,323,236
1997-04-05,1997,32,95,1997-12-06,32,340,244
1998-03-29,1998,32,88,1998-12-09,32,343,254
1999-04-01,1999,32,91,1999-12-24,30,358,266
2000-03-15,2000,31,75,2000-11-11,27,316,240
2001-03-02,2001,32,79,2001-11-07,31,311,231
2002-03-18,2002,31,77,2002-10-31,32,304,226
2003-03-02,2003,32,61,2003-10-31,32,304,242
2004-02-02,2004,31,51,2004-11-05,31,310,258
2005-02-23,2005,31,54,2005-11-02,31,324,269
2006-03-02,2006,32,79,2006-10-03,32,303,223
2007-04-03,2007,32,93,2007-11-02,32,306,212
2008-04-01,2008,31,92,2008-12-05,30,340,247
2009-04-04,2009,31,94,2009-12-02,31,336,241
2010-03-18,2010,30,77,2010-11-21,32,325,247
2011-04-08,2011,31,98,2011-11-02,30,306,207
2012-04-07,2012,31,98,2012-12-29,29,364,265
2013-03-09,2013,31,68,2013-10-29,32,302,233
2014-03-22,2014,32,81,2014-11-12,32,316,234
2015-03-05,2015,32,64,2015-11-21,32,325,260